Position,Company,Worktime,Location,URL
Senior Manager  Data & Analytics  DNA,Adidas,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=6c1d4ac0c28c163b&fccid=8686937f641f561b&vjs=3
Data Engineer (레이지나잇),무신사,Full-Time,서울 성동구,https://kr.indeed.com/rc/clk?jk=88ba1eef225a7727&fccid=a21230b40394711d&vjs=3
Machine Learning Researcher (Natural Language Processing),BOEING,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=7f09e1c155bd287a&fccid=edae4285faf6c2f0&vjs=3
Industrial Engineer,BOEING,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=c439384525d02032&fccid=edae4285faf6c2f0&vjs=3
웹개발  백엔드 외 신입/경력 정규직,코인챗,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=e3f3b7e2103d9bc7&fccid=e60f835b4d91f8e6&vjs=3
Deep Learning SW Engineer– Qualcomm Research,Qualcomm,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=d31af77ed83740e5&fccid=d40ebe11fc879426&vjs=3
백엔드 개발자(인턴십),액스,Full-Time,서울 서초구,https://kr.indeed.com/rc/clk?jk=b7223c792bfcbcd4&fccid=5013eca338141e7d&vjs=3
[SDV] Data Scientist[연구원  책임연구원],현대자동차그룹,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=020aee8f471db6e8&fccid=980d6ecc399a3373&vjs=3
풀스택 개발자,브랜드인게이지먼트네트워크인크,Full-Time,서울 중구,https://kr.indeed.com/rc/clk?jk=9f6d3f69a1c19095&fccid=f23a41cb201e2ca6&vjs=3
[홈페이지지원] 2023년 신입·경력 중,사이냅소프트,Full-Time,서울 강서구,https://kr.indeed.com/rc/clk?jk=c0cd7991573c901d&fccid=0673ca84bc014599&vjs=3
AI SW 개발-NLP 경력 채용,한화그룹,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=9555d35f27eec3bf&fccid=bd0dc1817223394f&vjs=3
JR0192526 SW engineer intern,인텔코리아,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=83f4939522ffaa68&fccid=ded06d6a6799d929&vjs=3
DI솔루션실(다이렉트인덱싱 부문) (~11/30),KB자산운용,Full-Time,서울 영등포구,https://kr.indeed.com/rc/clk?jk=c32dbcd113d07592&fccid=846186c5b49d7bef&vjs=3
++렉스코드 백엔드 개발자 ++,렉스코드,Full-Time,서울 서초구,https://kr.indeed.com/rc/clk?jk=9121c5aa8075bfa3&fccid=005cc3e287692b67&vjs=3
지식 콘텐츠 전문기업 (매출 135억) 백엔드 개발자,인파트너스,Full-Time,서울 마포구,https://kr.indeed.com/rc/clk?jk=9195ee8cd45faca0&fccid=e65c7a7fd4f89d1c&vjs=3
SQL  Python 기반 Data Engineer(경력직) 채용,파인트리파트너스 주식회사 관심기업,Full-Time,서울 도화동,https://kr.indeed.com/rc/clk?jk=1720b452301b54aa&fccid=4c458be029af0a85&vjs=3
2023 Software Engineering Intern  People with Disabilities (장애인 채용),Google,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=ed7b7e6eb72ffab8&fccid=a5b4499d9e91a5c6&vjs=3
S/W 엔지니어  IT기술지원 외 경력,리나컨설팅,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=c1914d4186071fab&fccid=b2fad8f047d78eb5&vjs=3
[전문연구요원] 의료영상 리서치 엔지니어 정규직,메디픽셀,Full-Time,서울 마포구,https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&fccid=aba88c202493b8a5&vjs=3
인공지능 연구 개발자,브랜드인게이지먼트네트워크인크,Full-Time,서울 중구,https://kr.indeed.com/rc/clk?jk=3bb38ff3724e7189&fccid=f23a41cb201e2ca6&vjs=3
[국내그룹사] Data Scientist,퍼솔켈리코리아 유한회사,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=4be8824b93ff444e&fccid=2c5b80eeab63070c&vjs=3
Industrial Engineer,보잉코리아,Full-Time,서울 강남구,https://kr.indeed.com/rc/clk?jk=87ed24d3ce42b142&fccid=e9f9929a39dc8bd4&vjs=3
Senior Software Engineer in Test,Roku,Full-Time,서울,https://kr.indeed.com/rc/clk?jk=e04c358b080a0fc6&fccid=f7f27aafffbc37a6&vjs=3
